video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
3iguSOqYAVg,U0_CuZHtq_Y,ly0dBk7yqYU,MV95TjaXkX8,vVhSDhDOHh0,uWAxLCkpPW4,jfACnjzXc3o,zzAFEtwIoAw,hKDtm4BTANM,MZX0VXLq54w,PawWL2Hml4I,7qM-_ez_5kY,0Ci_GcBeJpU,Wpgeu_dy8zw,thWS6L1WMiE,rUsIbSW4qx8,Jwzoi05VDts,xqdjb-XkzG4,JYLectcOOi0,PCHG2tIt2RY,v1qkmQPJIcU
sA2kG2p9INU,ly0dBk7yqYU,MV95TjaXkX8,vVhSDhDOHh0,uWAxLCkpPW4,jfACnjzXc3o,3iguSOqYAVg,hKDtm4BTANM,MZX0VXLq54w,PawWL2Hml4I,7qM-_ez_5kY,0Ci_GcBeJpU,Wpgeu_dy8zw,U0_CuZHtq_Y,thWS6L1WMiE,rUsIbSW4qx8,Jwzoi05VDts,xqdjb-XkzG4,JYLectcOOi0,PCHG2tIt2RY,v1qkmQPJIcU
MZX0VXLq54w,,,,,,,,,,,,,,,,,,,,
PawWL2Hml4I,ly0dBk7yqYU,3iguSOqYAVg,hKDtm4BTANM,MV95TjaXkX8,PCHG2tIt2RY,vVhSDhDOHh0,jfACnjzXc3o,uWAxLCkpPW4,zzAFEtwIoAw,MZX0VXLq54w,7qM-_ez_5kY,0Ci_GcBeJpU,Wpgeu_dy8zw,U0_CuZHtq_Y,thWS6L1WMiE,Jwzoi05VDts,xqdjb-XkzG4,JYLectcOOi0,sA2kG2p9INU,v1qkmQPJIcU
0Ci_GcBeJpU,cha8aUOf1DM,424SLwr49lE,GS4V-QMWjdU,CxWNwm99vXc,m139hw0StpQ,42MthKoZDXw,iKTFfxdf7CI,Q8b74itUaAM,tQvM--PK2A0,KODIh0zCTuc,MV95TjaXkX8,ly0dBk7yqYU,XAxpYC7tusU,KFMj41TWkRY,vVhSDhDOHh0,uWAxLCkpPW4,m7JadnMU23M,jfACnjzXc3o,YwmtkgEG9ak,zzAFEtwIoAw
Wpgeu_dy8zw,CHi51oWzV_M,bJXKkxE1Ri0,AABD9y6QY4s,MV95TjaXkX8,qXeTfDloDCU,Pa_V6msDZc8,Vi37eZDcQBU,XAxpYC7tusU,X23h2ZXMw1Y,vVhSDhDOHh0,WUJ4dV_Jl7k,32Ovrx-jg7k,NlZe5xtq7do,Q_W8axvhgtA,kbdkWByAND8,jkkUbBJWUNQ,r3LlwpiUwXU,xqdjb-XkzG4,uDhT1xZb0es,PGR6eeB37cw
U0_CuZHtq_Y,CHi51oWzV_M,32Ovrx-jg7k,bJXKkxE1Ri0,MV95TjaXkX8,vVhSDhDOHh0,2uJE48aKVNo,mOX3OmUhQoo,3FFM6fO1hy0,7VTjBjejlNE,uDhT1xZb0es,MZX0VXLq54w,XAxpYC7tusU,VBpDsb2iIxY,Vi37eZDcQBU,wArzsdORFsU,0_T-RGXKGS8,Ejc9GrooSKg,JYLectcOOi0,AABD9y6QY4s,_FzjPfIA6H8
Jwzoi05VDts,MV95TjaXkX8,jfACnjzXc3o,hKDtm4BTANM,7qM-_ez_5kY,rUsIbSW4qx8,F4zb49taTr0,Uzk_SGaJcEw,yluEw2zIMqk,pBTfhkQWd7I,btTHLCRDUJk,i9QMlzYGM2I,jxnTs4cpKQ4,ly0dBk7yqYU,lBhSOLtZagg,Bi0XKp568JY,vVhSDhDOHh0,uWAxLCkpPW4,zzAFEtwIoAw,3iguSOqYAVg,MZX0VXLq54w
JYLectcOOi0,,,,,,,,,,,,,,,,,,,,
PCHG2tIt2RY,,,,,,,,,,,,,,,,,,,,
v1qkmQPJIcU,,,,,,,,,,,,,,,,,,,,
