video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
3n8gxEwLx0w,-OS7uz-kRDA,xx8y5RbTK4s,elWf8nI6ivw,FOZ6KnVPvIU,ky8TLu7pps0,b7A3tp69cZI,XNBweJR8Wng,Mg_X_NjQKjg,e6QLsZI18LE,sNNNIz2Y1q0,y-SDMwkGLB0,mmqCoJghE2U,i1q_8QQO70Q,8XyzoToh0F4,tqrlOt3eC9E,WH_AzmsIsyg,3iOmj0htNcM,46QXCDK-B0M,iMSle00Nhms,nh8MWvYoyyY
ctsKDkPeQg0,J0oL8qztogg,W3Br2Xmc4oY,8WnyIn9Brac,tfwHkLeQdcw,H6obbn6TFjw,s7Wmaeg02zc,Y5dypztogiU,m4i7qiqjs-k,8hwluqv3s8Q,ErSJEw3Gedg,yLIpprT-i3k,_REbq5XYJy0,ZWwadva0tsM,ziXqKiCNPSo,O90m2ybDfsE,dabCj-4bEbU,08Xu1Sg3jQI,002AY4cb5uw,krBdFmtcv-k,k0pXyuzcA4c
HSKd9XIg11I,ZulqvdcSsRo,871oxKqyvDU,zKlcIWT48TM,wfuPXlBf0kE,PlFufy7uR08,l92vz_DdvXc,VUv_Qms_zME,4fbiAW_CJc8,P5CI1E4rsFs,grDGXetgq2g,Vnyoqd29Ddw,xirxBiEdVKw,go8nv0o7OTE,A2BQZhf3ruI,gYj2z2iFtj8,c6NEy11keIs,zwimh4_6xa8,v-Me-EVGH08,AApXCfeZohM,WtbxGcptpVI
yh_TAGPbb-Q,1bUZD1vnC8A,08Xu1Sg3jQI,s7Wmaeg02zc,tc_3J62lfJM,8WnyIn9Brac,IPhUfW54Ae0,m5Fl9qnA-To,hwjPrnHeEdM,CwFW834Mrcc,m4i7qiqjs-k,b8BUWC9ynso,_ad-j2Dd_Vg,OEoH79w1Yxs,H6obbn6TFjw,wQUN1TjiP1E,8hwluqv3s8Q,g3882sGkrNA,M4O9GuFo4JE,DiMZwOyiFdg,BFDidaqofNw
jNm9QYD_vmI,_uGXJr8Y6bs,z4QCxViT7M0,uKWwa_xp-8M,-fXtwrMBet4,LREjfD664bI,ObzccUVr-ig,t4jNbfBARUI,GFfFefuWGRE,HLKCuky5Pb4,PYbpXH0srVY,-bZd7kZ1t0o,CP5PlRyq3J4,_j3qpZW4cJA,P4GMd1X1D6k,pnL0XgK_plY,dbdd1eXS5-g,o5qQ55kptps,sa2FXaoNlIE,4YIyvG1zcKc,onjlDEAY3ZY
VN_HUgCzJTU,,,,,,,,,,,,,,,,,,,,
JIkMUxSIx0M,tdYarEu7Mbc,DD0fdh1Xlow,VrnAo74yO_M,4pPloiiIINE,Tms9qhNEdfM,vbc6Ydu6w0g,3w9ShVBqnyw,hLZ_Ii7cV3M,YAhXFOeeXL8,et03rW2pZ0Y,eDFXIoi0Ilg,Je872LPlTrI,7Vy2Nff71W4,r__hrBbiXUQ,_ycDn0B5A6A,2-UJ3mklyVw,aC6zFV37KKA,KhJJENm-uKQ,Bpnegt0xRBQ,R_Fd0xca6tc
buxGQxHl49M,1bUZD1vnC8A,08Xu1Sg3jQI,hwjPrnHeEdM,_ad-j2Dd_Vg,tfwHkLeQdcw,s7Wmaeg02zc,_REbq5XYJy0,vjyKPLJeRGU,O90m2ybDfsE,Jxo6qi1Fop0,DiMZwOyiFdg,4F_C089Cweg,e2T0mofp98c,tc_3J62lfJM,wQUN1TjiP1E,g3882sGkrNA,beVpLDAPaFI,ne4XYLagxT8,dabCj-4bEbU,eXglZRe9GaE
n0q37v4ef5s,3XKQ5T4Xz84,zVT8_0XNCtQ,rJMKFeuWEMQ,LbmDAJCsy7M,mGlmReyNTjo,Dg5xWLpjUQg,Y8rFyNa9vps,UALEGVUbqi0,YlIEGlovv7Y,4fvmATgJ6YY,xJld1-AGS5Y,omto48uOrlo,GHetDjjQYWs,TVL_ZSz3Ncg,FqkEetuVtZM,q_uOs6eysww,TY-uKhrVCrw,ZlpZSqE7pR4,h8zFMkSq-nI,cHo1Wsrcd_4
JLCktCzX9lQ,8d-yO89cQY0,D1s6IIsIqaI,o7vTM7Qfl8w,5J78MDuz8ZE,wj2tztYxKRY,-T6GVJtpuZc,YatKrxXb-lE,dQlpkbqrbEg,jmGxUThULIs,k1j795fp_YM,hwC76aewhSw,xp5Tg0aU9NE,XX_trxOkyek,GVLj4sLub2w,3oc4XSuEnIc,3OmWjY8f-aA,hjjoi3PQ6IE,0g1ku44fBnM,vLnkDwXdbn8,olQ3kYS0Q6A
GY4eSpJQ3ro,,,,,,,,,,,,,,,,,,,,
xXzEvJCDYx4,,,,,,,,,,,,,,,,,,,,
utLbbfYZ3xQ,iddYp2CbWfI,xpcUxwpOQ_A,0We9d5J3BLQ,6ZwMs2fLoVE,K0dfd_L4tDk,Wod-MudLNPA,eELH0ivexKA,iPeVIuRjUi4,PSh7444zG4Q,1o8noZIfO1M,gyCi4CMD29w,QrzGpVOPcTI,JCVHAjTBb1U,FzTw4PYfROU,jYUodOUXEoQ,SmVSsO6-d_c,flVEoNuEYgE,rXQBnD-dGXI,SWmwDy6wr8Y,NZFEU8c3StE
bksllNEsKOw,fGCsXalvCOI,SOmAIp11iaE,iEoma1jEWno,y5eUkAm2xwk,xPpCf2D1rEo,RRy9yx2SVKs,pgQ8CQP9Olo,ax6yCA9ZpNk,mxVoqKB6t9I,RUHFI9sEat8,EB0pTR8qE6c,Yn7Hvu4Hbow,l7N2LXZVuGY,b4LbV3UhxAU,YhNBvnAmn90,CCfu2us5jOw,8LVOTBAa89k,xRAhWc8c4MI,fMBGr2P71WM,FL1Jd_HTARk
r5BR8iCl7sQ,FwNT0GDBw4E,PVGYicHVp4Q,dupNQSc43mI,niXkB1PWWZ4,Q3HGOO4Ta4k,HGCrlpkbXDs,YGcNV_oxPbw,x8O_rIv5IP0,NmTpy2cQnIU,v5DZKKPEd5s,5KOhmOoYp6U,5xrrD7K_mYc,12s-ItkoFQI,A7fPIjjKmP8,2cLzTQanXxo,kzaotTDuFDo,vOPi_Lg6XqM,L73iX8h18MQ,uIMJ63WZS0A,Ientja6kTRk
FGF8nsJvArs,0JBLf7RfwTI,F-OPEeX_A-k,o8D6GdW7dew,ALeg7KnXWUg,daZNyLysIb4,1cI2WU9sow4,UGhoEB879Vs,4_W0Jz0sz6c,z64XeiffgCQ,62eekUTXkfI,kx5Sr_huOcA,-ujEV87WQA0,958icVvOymI,cJ2E6sL9nss,DoxujnzbNiw,8DdLRFvrl1E,jkdo8JDkEcM,rrCPOcHFhkA,eKwAEt5rVJI,ZUFzDJvD41Q
