node,betweenness,ap
EbRzOQfRMio,8.604166667,2.2
b69pfKTlmss,5.291666667,0.4
MvnRCvPd7RU,29.75,0
Hn5dsfVYhAU,16.1875,3.8
tiBzBujTWvg,0.583333333,4.6
jmYw_vZsWC4,15.70833333,1.2
e3pke47K2uk,11.8125,17.2
nZnmZN42FEg,7.875,0.8
Ohc27Gxs0tM,16.5,102.6
2-grH2k9_WI,16.5,11.4
kypeCPXW8vg,0.055555556,12.6
wpF4BQ0WSn4,0.166666667,0.8
fPLfkdmec18,0.291666667,6
#NAME?,16.5,18
AiXaHiqZJPw,16.5,0
eRMaqZBn_6U,16.5,0.4
VB88aSwjpBs,16.5,2.2
xKprNqL_8j4,8.25,32.4
75bz8A-sDTo,4.125,0.4
3Sl9aPqBSBQ,16.5,11.6
hWZyctup-a8,24.75,47.4
0znGn01jvnc,8.25,29.8
jZBnIOte_X8,16.5,75
kulq7biswMw,16.5,55.2
PivO8Z-o6wE,16.5,9.4
iU9HMkjtYfU,16.5,8
JnuJbVyPhzM,16.5,1.4
7pS2ZT90s8I,16.5,0.4
Uk4CxfI70Qo,6.283333333,0
#NAME?,6.283333333,0
hH8-ShNsxSc,6.283333333,0.6
caho1phbNhA,7.4375,2.8
nliy9lUOvO0,0.125,0.8
O4F_6GXa-7M,3.625,1.2
tk6cr4T5chY,0.0625,0
TcWBJ6EIU3k,3.625,0.4
nzbXNOuw6I0,16.5,7.6
j5LIf-WTZyM,9.1875,15.2
YwGUsHp_Y18,16.5,1.8
HPc2ujQI8Dc,0.125,2.8
g1txcCGbavs,0.125,3.2
B7ca9IL0KTg,16.25,11
okgIQOJACYA,16.5,3.2
WNgVd_Dpv0Y,16.16666667,0.4
05RU06pyed8,16.27777778,0
QV9kRFDogOM,16,0
53OItjY6K80,5.5,40.2
a0A152pB6H4,16.5,93.4
ALGiHtVV-64,5.5,21.8
zT4Pr3M_eNQ,5.5,17.6
#NAME?,16.5,7.6
35-kVfeGp6s,1,0
f-rLN7wxVe0,2.583333333,1.2
zGaDe3G0CVw,16.5,5.8
1m7xkQ-yD58,16.5,37.2
sf3wewMOzTQ,16.5,13.6
QpREq98LgQg,8.25,1.4
NPnoGQIzYYQ,8.25,0.4
VvDcYce8ff8,8.25,0
ZPVTwwIbnMI,8.25,0
rM-kGyxzr6k,4.125,3
c0ekf0puB1E,16.5,0.6
t1aR2CHCFx8,16.5,13.6
He86OrIx4lo,16.5,12.4
4iPPP2Gg0Vo,16.5,15
xBNsOPm04Rw,16.5,15.6
572uDR55gPU,16.5,16
vUUhsffFFhU,5.5,0.6
AmJ4gwg1AQc,16.5,15
I2HUd_36dMQ,16.5,1.4
AKbHcMaC_cA,16.5,3.4
LksPLl28prI,11,3.8
mRBUqAeAeCI,16.5,1.6
OtpYouggihg,19.25,4.4
3J_BTRCOxJY,16.5,3
nTMyvNWnmuU,11,2
wraMx_GM7AE,8.25,1.2
Q-sEsaL83C4,16.5,0
3oPTFrCLCyI,16.5,5.6
6YwxDGA9MOM,16.5,3
wLug4jLCpuU,16.5,1
IncAuOLdzNo,16.5,3.6
#NAME?,16.5,3.4
x9nSy9XBeeE,16.5,0.8
2X-ea0UWw0c,16.5,2.2
OTh3T30I7DQ,16.5,2
rg8ioijsOWI,16.5,2.8
chmANWyUfrs,0.5,62
9JWwhSgfTQg,16.5,3.4
NIE91eh8KAE,16.5,3.2
bAHBsWtuokw,16.5,1
ty0DgYm3yzI,16.5,0
Z-5AIQ8UvB8,17,1
GOzzohAnvSA,0.375,1.8
5FG4DS58xqE,16.5,4.6
u4unsftNTEY,16.5,21
MC2KADhqqNw,0.125,1.6
KpjCMfzroXs,0.375,3
JJR9zAyju14,3.9375,4.6
qED9OO9Z6Yk,7.833333333,1.2
tKy-IPPCC9w,7.875,6.8
oxxJy30PoVk,16.5,2
g2t7I5QRFMQ,0.25,1.2
pQzOFcoUthU,0.583333333,9.6
budUgpF0xRc,2.483928571,10.8
tQwt_rM7nYU,0.25,4.4
nXbs-V25yxs,0.055555556,0
2ZvDEN_9dnI,18.35714286,3.4
pWgIx0pWVe0,2.071428571,3.4
lf-ZpuFxFzM,7.555555556,0.4
8V3Jcc0WIuk,41.92857143,0
MF0AQtz8wM8,2.071428571,0.8
_F_ztaO5poE,2.071428571,1.2
0_8NoHxlUk0,14.5,1.4
Of4fEZNohpA,14.5,1.8
7eiME-CX10w,0.888888889,0.6
Fa6fCuIbgvs,16.88888889,0.6
64z7BT3LNxQ,0.125,1
Rv4W6WH5b88,0.3125,2
zejM1EYPwjQ,0.083333333,1.8
#NAME?,1.208333333,1.4
wm3MQOGBwpQ,1.25,7
HGrH6d6SE9o,13.14107143,5
fKJqOKy5B1I,0.3125,0.8
YStE-2NIM5g,15.61111111,0.6
kTCUvd0laRI,16.5,2
