video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
gm-c3EK8X_o,wY3oEvaq71A,B5ESIq1Opbc,InQWcq8_VPg,bquEAdZXo1U,QKjSTugOAAA,lgqP9iYTkzc,NLLr0l2tMJo,h52zXZPnxPA,NilALRu3rrw,xiF6l-LCLm8,dsVAvWL1tVQ,ufJAOeqZJlU,oa1AYZHzNgo,NY8mF6hRNIM,m2bNm-ncyKM,VBGnKivsqeY,sfjXx4jYc80,MeOi_iR717k,R0AqE9dapV0,0M9T8nv_CXY
dqx_LYy5VfE,7_8MmgW4x6E,TcohddEtUes,EU3G34H8JGw,iO3VslfW9yE,2688lxvhgbQ,UDskIj-CFf0,EOx9sx79cBI,976YyVc7fNQ,5cXB3QzdA4o,rjNEit1wlIs,IPvBSRZGAXQ,EyEM6R2UpW8,H2yOwP9nGF8,CSmk7ssWkcg,zFK3a5dXgqc,KnP9iMu7B3A,R3g6V1PyIQU,e1aHNDAWYqA,BvyWJcp6kZA,eXl_tiqqsfs
Rt6BJHIQWGA,,,,,,,,,,,,,,,,,,,,
8N_xuz6HzR0,,,,,,,,,,,,,,,,,,,,
lMBD-MJhm_Y,MCky91H2VQI,k98qJu9PtAs,V94shlqPlSI,hZKfNRxdUeI,qTZE3yPA2AE,9eohCbgOwIk,XxIjkBVEtyE,o8TLFRJQHpo,WupozC4pDn4,Qjvmg9AZRdc,ZxsClWe4juE,4H56JgLGAEI,Iz_F6XqEk5E,eREN9IadtNk,7lzR1e_h8Hc,-UInyM-fjmA,VTYv3a7yJYs,RrbcKYFY-dQ,dISPc5wvX64,6QIH8NrNeso
1K5FjuFsKUg,WH0mTdEYcbU,NuGc3JjEeoI,j9ovhBSHfu8,g8e10LZ7oCs,Of1LW-azYtk,YuzXVT3d65w,KSAg3jZKMC8,B_VvxcxKq-s,WsvTr-1bZwM,sF0r5Xy5OfY,Aqjv7RObU70,O65YtOTR-PU,Xj6__5ZT64k,F8W6Uoc51Q0,DWxaO8NyWdI,Wh3TjqCeRQg,JuCLK_QYZRU,NcR4EePO_88,Bbt3DjmN--4,9HkCgopLo7Y
Ieq6gx9FPf0,,,,,,,,,,,,,,,,,,,,
E2NWr5ZHH1c,qaIyuGN7Z14,rFmH6r4CKJI,MCz4tPZgUck,fPtimB4RziY,viIra7FQiAQ,tK87pHEkIno,fdtXbrKhUZU,DWo__ixlVFY,F2VsQ2pGt7E,WPf3SRuDUvc,oSLTPjj4X9o,fOJpr1okfRs,uBKr4OWOrpI,FelFc1ZzJ_Y,iwv4lFGTvZU,IPS7xG4dULE,5wLE-RaxIUc,WrsaHbYBCMg,ePy_0hOLqAw,eS9XmFpJy6M
0raCr_CvrMw,,,,,,,,,,,,,,,,,,,,
7qM-_ez_5kY,MV95TjaXkX8,jfACnjzXc3o,hKDtm4BTANM,Jwzoi05VDts,rUsIbSW4qx8,Uzk_SGaJcEw,yluEw2zIMqk,pBTfhkQWd7I,btTHLCRDUJk,jxnTs4cpKQ4,i9QMlzYGM2I,F4zb49taTr0,lBhSOLtZagg,ly0dBk7yqYU,Bi0XKp568JY,vVhSDhDOHh0,uWAxLCkpPW4,zzAFEtwIoAw,3iguSOqYAVg,sA2kG2p9INU
Fw2KxSWs0hA,kD3LTtYXl2A,vklQ-C_Xi4g,a55aVycBHQE,zpGfFNp4jOw,K2suIeetwfo,dyuUFs8iI1g,46RJyivS8SY,K0QmLAjbKmA,qsqEyGdLh8I,rLh-Kz4AmtM,ql7atyQbQEE,ocU5x_03MDM,tOZFtDa1u9w,0cOJNC2EuJw,EwIPDjO7W-Y,9Y_SSKB0wgU,TUadaQ0fnYU,FiH1GML1XMs,X7GjfyTfjPk,gI3oBB_n1AU
kD3LTtYXl2A,,,,,,,,,,,,,,,,,,,,
T6jPQ6Ftesg,7_4xqQffK8k,CT5tGAu-rPs,9_u-sWwyWI8,htpulp7ZbWE,rEycXsyVu_U,IaUxVKfuzOc,T7aMFuj0PaI,bZ4rWYw5OaM,QMGbapkjBp8,n7Oxb5kaBBE,LRXhSJgC5S4,7sfuJjA1sTs,Q9KQVZVGZrk,tzwKmU3Y59M,g06Ruui5gs4,HPsH0vmTHQw,jk1DSWkCa-U,xYJDSYMT_E4,CipqpMFk2Jk,uQqQkZLHDns
